time_period,time_identifier,geographic_level,country_code,country_name,sex,subject_name,inst_type,provider_name,ukprn,xinstc01,inst_region,current_region,grads_1YAG,unmatched_percent_1YAG,overseas_percent_1YAG,matched_1YAG,activity_not_captured_1YAG,no_sust_dest_1YAG,sust_emp_only_1YAG,sust_emp_with_or_without_fs_1YAG,sust_emp_fs_or_both_1YAG,grads_3YAG,unmatched_percent_3YAG,overseas_percent_3YAG,matched_3YAG,activity_not_captured_3YAG,no_sust_dest_3YAG,sust_emp_only_3YAG,sust_emp_with_or_without_fs_3YAG,sust_emp_fs_or_both_3YAG,grads_5YAG,unmatched_percent_5YAG,overseas_percent_5YAG,matched_5YAG,activity_not_captured_5YAG,no_sust_dest_5YAG,sust_emp_only_5YAG,sust_emp_with_or_without_fs_5YAG,sust_emp_fs_or_both_5YAG,PAYE_earnings_include_1YAG,PAYE_earnings_LQ_1YAG,PAYE_earnings_median_1YAG,PAYE_earnings_UQ_1YAG,PAYE_earnings_include_3YAG,PAYE_earnings_LQ_3YAG,PAYE_earnings_median_3YAG,PAYE_earnings_UQ_3YAG,PAYE_earnings_include_5YAG,PAYE_earnings_LQ_5YAG,PAYE_earnings_median_5YAG,PAYE_earnings_UQ_5YAG,total_earnings_include_1YAG,total_earnings_LQ_1YAG,total_earnings_median_1YAG,total_earnings_UQ_1YAG,total_earnings_include_3YAG,total_earnings_LQ_3YAG,total_earnings_median_3YAG,total_earnings_UQ_3YAG,total_earnings_include_5YAG,total_earnings_LQ_5YAG,total_earnings_median_5YAG,total_earnings_UQ_5YAG,POLAR_num_included_1YAG,POLAR_percent_1YAG,POLAR_num_included_3YAG,POLAR_percent_3YAG,POLAR_num_included_5YAG,POLAR_percent_5YAG,PA_num_included_1YAG,PA_median_1YAG,PA_num_included_3YAG,PA_median_3YAG,PA_num_included_5YAG,PA_median_5YAG,PA_rank_1YAG,PA_rank_3YAG,PA_rank_5YAG,PA_band_1YAG,PA_band_3YAG,PA_band_5YAG,POLAR_include_percent_1YAG,POLAR_include_percent_3YAG,POLAR_include_percent_5YAG,PA_include_percent_1YAG,PA_include_percent_3YAG,PA_include_percent_5YAG
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,Central Bedfordshire College,10002061,England,East of England,All,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,Cleveland College of Art and Design,10001503,England,North East,All,20,5,0,20,21.1,5.3,63.2,68.4,73.7,30,0,0,30,13.8,3.4,79.3,82.8,82.8,20,0,0,20,17.5,4.8,77.8,77.8,77.8,c,c,c,c,25,14200,17500,19000,c,c,c,c,c,c,c,c,25,12400,17200,19000,15,14700,17900,23400,15,23.1,20,25,10,11.1,10,120,10,160,10,140,1,0.9,0.9,3,3,3,68.4,55.2,57.1,36.8,31,34.9
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,Cornwall College,10001696,England,South West,All,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,Croydon College,10001778,England,London,All,c,c,c,c,c,c,c,c,c,25,4,4,25,17.4,8.7,73.9,73.9,73.9,c,c,c,c,c,c,c,c,c,c,c,c,c,20,15700,17900,22300,c,c,c,c,c,c,c,c,20,15700,17900,22300,c,c,c,c,c,c,15,8.3,c,c,c,c,5,60,c,c,c,1,c,c,3,c,c,52.2,c,c,13,c
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,Doncaster College,10002005,England,Yorkshire and the Humber,All,c,c,c,c,c,c,c,c,c,15,0,0,15,23.1,7.7,61.5,61.5,69.2,25,0,0,25,14.3,9.5,76.2,76.2,76.2,c,c,c,c,c,c,c,c,15,15000,21200,26600,c,c,c,c,c,c,c,c,20,10400,18200,26100,c,c,5,20,10,50,c,c,5,160,5,160,c,0.9,0.9,c,3,3,c,38.5,28.6,c,23.1,9.5
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,Farnborough College of Technology,10002412,England,South East,All,c,c,c,c,c,c,c,c,c,15,0,0,15,0,0,100,100,100,c,c,c,c,c,c,c,c,c,c,c,c,c,15,16100,24100,27700,c,c,c,c,c,c,c,c,15,17700,24100,26400,c,c,c,c,c,c,10,0,c,c,c,c,10,240,c,c,c,0.4,c,c,2,c,c,66.2,c,c,60.3,c
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,Greater Brighton Metropolitan College,10004736,England,South East,All,20,0,0,20,5.5,22.1,66.3,66.6,72.4,20,0,0,20,13.5,2.7,73,83.8,83.8,15,0,0,15,7.1,14.3,78.6,78.6,78.6,15,7900,12600,14700,15,13500,18200,20800,c,c,c,c,15,7900,12600,14700,15,13500,18200,20100,c,c,c,c,5,0,5,0,5,20,5,181.6666667,5,210,5,270,0.8,0.7,0.2,3,2,1,16.6,24.3,35.7,11,5.4,14.3
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,Grimsby Institute of Further and Higher Education,10007938,England,Yorkshire and the Humber,All,20,5.3,0,20,11.1,11.1,72.2,72.2,77.8,15,0,0,15,9.1,9.1,72.7,72.7,81.8,20,0,0,20,0,5.9,88.2,94.1,94.1,c,c,c,c,c,c,c,c,15,14200,15000,21500,15,12400,14200,17200,c,c,c,c,15,14200,16100,22600,15,9.1,5,0,10,12.5,5,140,5,120,5,190,0.9,1,0.8,3,3,3,61.1,45.5,47.1,22.2,27.3,17.6
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,Havering College of Further and Higher Education,10002935,England,London,All,20,0,0,20,17.6,5.9,70.6,70.6,76.5,15,0,0,15,16.7,0,83.3,83.3,83.3,c,c,c,c,c,c,c,c,c,15,15800,18800,21100,c,c,c,c,c,c,c,c,15,15800,18800,21100,c,c,c,c,c,c,c,c,15,38.5,10,50,c,c,5,160,5,320,c,c,0.9,0,c,3,1,c,76.5,83.3,c,23.5,8.3,c
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,Hereford College of Arts,10003022,England,West Midlands,All,35,0,0,35,0,6.2,84.4,84.4,93.8,45,2.2,2.2,45,4.7,11.6,81.4,81.4,83.7,40,0,2.6,40,10.5,10.5,71.1,76.3,78.9,25,10800,13300,18000,30,12400,18200,22600,20,17200,22600,24600,30,10600,13900,17500,35,11300,17300,20800,25,16100,23400,25200,20,25,30,23.1,25,17.4,10,170,10,210,15,180,0.9,0.7,0.8,3,2,3,50,60.5,60.5,21.9,23.3,31.6
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,Hugh Baird College,10003193,England,North West,All,15,0,0,15,0,38.5,30.8,38.5,61.5,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,5,100,c,c,c,c,NA,NA,c,c,c,c,NA,c,c,NA,c,c,7.7,c,c,0,c,c
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,Hull College,10003200,England,Yorkshire and the Humber,All,20,0,0,20,10,20,70,70,70,25,0,0,25,25.8,4.3,69.9,69.9,69.9,30,0,0,30,7.7,26.9,50,61.5,65.4,15,14200,17900,19000,20,14600,18600,22200,15,17200,18200,21900,15,13800,17300,19000,20,14600,20100,24100,15,17200,18200,21900,10,30,10,21.6,15,46.2,5,230,5,160,10,140,0.5,0.9,0.9,2,3,3,50,39.8,50,20,18.3,38.5
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,Kensington and Chelsea College,10003564,England,London,All,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,Kingston College,10003674,England,London,All,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,Kirklees College,10003189,England,Yorkshire and the Humber,All,15,0,0,15,0,16.7,83.3,83.3,83.3,25,0,0,25,14.3,9.5,76.2,76.2,76.2,c,c,c,c,c,c,c,c,c,c,c,c,c,15,14600,18200,24500,c,c,c,c,c,c,c,c,20,14400,17500,24200,c,c,c,c,5,0,15,0,c,c,5,170,5,161.6666667,c,c,0.9,0.9,c,3,3,c,41.7,52.4,c,25,19,c
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,Leeds City College,10024962,England,Yorkshire and the Humber,All,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,LTE Group,10023139,England,North West,All,25,0,0,25,4.2,29.2,54.2,62.5,66.7,30,0,3.7,30,23.1,0,73.1,76.9,76.9,20,5.6,0,20,11.8,5.9,82.4,82.4,82.4,15,6800,13000,18000,20,16800,19300,26600,15,10800,18400,23200,15,5500,12800,17900,20,16800,18600,26600,15,11700,17200,22300,5,20,10,0,5,0,5,159,5,158.3333333,5,230,0.9,0.9,0.5,3,3,2,20.8,26.9,11.8,8.3,15.4,11.8
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,NCG,10004599,England,North East,All,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,25,0,0,25,12,8,76,80,80,c,c,c,c,c,c,c,c,20,20100,24500,31400,c,c,c,c,c,c,c,c,20,20100,24500,31400,c,c,c,c,10,28.6,c,c,c,c,5,190,c,c,0.8,c,c,3,c,c,28,c,c,16
